MONDO Disease id	Disease name	Parent MONDO id	Parent name
mondo:0017885	chromophobe renal cell carcinoma	mondo:0004992	cancer
mondo:0017885	chromophobe renal cell carcinoma	mondo:0002118	urinary system disease
mondo:0018667	pleural empyema \(disease\)	mondo:0005087	respiratory system disease
mondo:0008999	Cohen syndrome	mondo:0005137	nutritional disorder
mondo:0008999	Cohen syndrome	mondo:0002025	psychiatric disorder
mondo:0008999	Cohen syndrome	mondo:0005570	hematologic disease
mondo:0008999	Cohen syndrome	mondo:0005071	nervous system disorder
mondo:0008999	Cohen syndrome	mondo:0005066	metabolic disease
mondo:0008999	Cohen syndrome	mondo:0005151	endocrine system disease
mondo:0008999	Cohen syndrome	mondo:0005046	immune system disease
mondo:0008999	Cohen syndrome	mondo:0021084	vision disorder
mondo:0019610	Zollinger\-Ellison syndrome	mondo:0004335	digestive system disease
mondo:0019610	Zollinger\-Ellison syndrome	mondo:0021178	injury
mondo:0019610	Zollinger\-Ellison syndrome	mondo:0005151	endocrine system disease
mondo:0019610	Zollinger\-Ellison syndrome	mondo:0005550	infectious disease
mondo:0019610	Zollinger\-Ellison syndrome	mondo:0004992	cancer
mondo:0019610	Zollinger\-Ellison syndrome	mondo:0021166	inflammatory disease
mondo:0012092	hereditary sensory and autonomic neuropathy type 5	mondo:0005071	nervous system disorder
mondo:0007058	acropectorovertebral dysplasia	mondo:0003900	connective tissue disease
mondo:0007058	acropectorovertebral dysplasia	mondo:0005087	respiratory system disease
mondo:0007058	acropectorovertebral dysplasia	mondo:0002081	musculoskeletal system disease
mondo:0007057	acroosteolysis dominant type	mondo:0002081	musculoskeletal system disease
mondo:0007057	acroosteolysis dominant type	mondo:0003900	connective tissue disease
mondo:0007057	acroosteolysis dominant type	mondo:0005046	immune system disease
mondo:0004762	Taylor syndrome		
mondo:0005647	anogenital human papillomavirus infection	mondo:0005550	infectious disease
mondo:0006560	hypohidrosis		
mondo:0006610	skin atrophy	mondo:0002051	integumentary system disease
mondo:0007190	leukemia\, chronic lymphocytic\, susceptibility to\, 2	mondo:0005046	immune system disease
mondo:0007190	leukemia\, chronic lymphocytic\, susceptibility to\, 2	mondo:0002081	musculoskeletal system disease
mondo:0007190	leukemia\, chronic lymphocytic\, susceptibility to\, 2	mondo:0005570	hematologic disease
mondo:0002041	fungal infectious disease	mondo:0005550	infectious disease
mondo:0009176	epidermodysplasia verruciformis	mondo:0002051	integumentary system disease
mondo:0009176	epidermodysplasia verruciformis	mondo:0005046	immune system disease
mondo:0025389	brucellosis\, bovine	mondo:0005550	infectious disease
mondo:0021167	myositis	mondo:0002081	musculoskeletal system disease
mondo:0021167	myositis	mondo:0021166	inflammatory disease
mondo:0001014	chronic leukemia	mondo:0005046	immune system disease
mondo:0001014	chronic leukemia	mondo:0002081	musculoskeletal system disease
mondo:0001014	chronic leukemia	mondo:0005570	hematologic disease
mondo:0007705	Heinz body anemia	mondo:0005570	hematologic disease
mondo:0004979	asthma	mondo:0005087	respiratory system disease
mondo:0011535	split hand\-foot malformation 4	mondo:0003900	connective tissue disease
mondo:0011535	split hand\-foot malformation 4	mondo:0002081	musculoskeletal system disease
mondo:0021765	radiculitis	mondo:0005071	nervous system disorder
mondo:0021765	radiculitis	mondo:0021166	inflammatory disease
mondo:0005522	small intestine carcinoma	mondo:0004335	digestive system disease
mondo:0005522	small intestine carcinoma	mondo:0004992	cancer
mondo:0004522	peritonitis	mondo:0004335	digestive system disease
mondo:0004522	peritonitis	mondo:0021166	inflammatory disease
mondo:0005246	osteomyelitis \(disease\)	mondo:0005550	infectious disease
mondo:0005246	osteomyelitis \(disease\)	mondo:0005570	hematologic disease
mondo:0005246	osteomyelitis \(disease\)	mondo:0003900	connective tissue disease
mondo:0005246	osteomyelitis \(disease\)	mondo:0002081	musculoskeletal system disease
mondo:0005246	osteomyelitis \(disease\)	mondo:0005046	immune system disease
mondo:0006574	lipomatosis	mondo:0002051	integumentary system disease
mondo:0006574	lipomatosis	mondo:0003900	connective tissue disease
mondo:0006574	lipomatosis	mondo:0002081	musculoskeletal system disease
mondo:0008644	velocardiofacial syndrome	mondo:0024623	otorhinolaryngologic disease
mondo:0008644	velocardiofacial syndrome	mondo:0004995	cardiovascular disease
mondo:0008644	velocardiofacial syndrome	mondo:0005071	nervous system disorder
mondo:0008644	velocardiofacial syndrome	mondo:0005046	immune system disease
mondo:0100079	developmental and epileptic encephalopathy\, 6	mondo:0005066	metabolic disease
mondo:0100079	developmental and epileptic encephalopathy\, 6	mondo:0005071	nervous system disorder
mondo:0025512	type II hypersensitivity reaction disease	mondo:0005046	immune system disease
mondo:0021451	benign neoplasm of brain	mondo:0005071	nervous system disorder
