Plant location (trefle)	Country	Continent
Gulf States	-	Western asia
Iran	Iran, Islamic Republic of	Western asia
Kuwait	Kuwait	Western asia
Lebanon-Syria	-	Western asia
Oman	Oman	Western asia
Palestine	Palestine, State of	Western asia
Turkey	Turkey	Western asia
Turkey-in-Europe	Turkey	Western asia
Yemen	Yemen	Western asia
Senegal	Senegal	Western africa
Benin	Benin	Western africa
Burkina	Burkina Faso	Western africa
Cameroon	Cameroon	Western africa
Cape Verde	Cape Verde	Western africa
Gambia	Gambia	Western africa
Ghana	Ghana	Western africa
Guinea	Guinea	Western africa
Guinea-Bissau	Guinea-Bissau	Western africa
Gulf of Guinea Is.	Guinea-Bissau	Western africa
Liberia	Liberia	Western africa
Mali	Mali	Western africa
Mauritania	Mauritania	Western africa
Niger	Niger	Western africa
Nigeria	Nigeria	Western africa
Sierra Leone	Sierra Leone	Western africa
Togo	Central African Republic	Western africa
Baleares	Spain	West europe
France	France	West europe
Germany	Germany	West europe
Great Britain	United Kingdom	West europe
Ireland	Ireland	West europe
Italy	Italy	West europe
Netherlands	Netherlands	West europe
Portugal	Portugal	West europe
Romania	Romania	West europe
Sicilia	Italy	West europe
Spain	Spain	West europe
Switzerland	Switzerland	West europe
Sinai	-	West asia
Socotra	United Arab Emirates	West asia
Austria	Austria	Southern europe
Azores	Portugal	Southern europe
Bulgaria	Bulgaria	Southern europe
Canary Is.	Spain	Southern europe
Lesser Sunda Is.	-	Southern asia
Myanmar	Myanmar	Southern asia
Thailand	Thailand	Southern asia
Vietnam	Vietnam	Southern asia
China North-Central	China	Southern asia
Namibia	Namibia	Southern africa
Swaziland	Swaziland	Southern africa
Afghanistan	Afghanistan	Southern africa
Andaman Is.	India	Southern africa
Assam	India	Southern africa
Bangladesh	Bangladesh	Southern africa
Borneo	Malaysia	Southern africa
Cambodia	Cambodia	Southern africa
East Himalaya	India	Southern africa
India	India	Southern africa
Jawa	Indonesia	Southern africa
Kirgizstan	Kyrgyzstan	Southern africa
Laccadive Is.	India	Southern africa
Laos	Laos	Southern africa
Malaya	Malaysia	Southern africa
Maluku	Indonesia	Southern africa
Nepal	Nepal	Southern africa
Nicobar Is.	India	Southern africa
Pakistan	Pakistan	Southern africa
Saudi Arabia	Saudi Arabia	Southern africa
Sri Lanka	Sri Lanka	Southern africa
Taiwan	Taiwan (Republic of China)	Southern africa
Tibet	Tibet	East asia
West Himalaya	India	Southern africa
Botswana	Botswana	Southern africa
Cape Provinces	South africa	Southern africa
Caprivi Strip	Namibia	Southern africa
Free State	-	Southern africa
KwaZulu-Natal	South africa	Southern africa
Lesotho	Lesotho	Southern africa
Malawi	Malawi	Southern africa
Argentina Northeast	Argentina	South america
Argentina Northwest	Argentina	South america
Argentina South	Argentina	South america
Aruba	-	South america
Bolivia	Bolivia, Plurinational State of	South america
Brazil North	Brazil	South america
Brazil Northeast	Brazil	South america
Brazil South	Brazil	South america
Brazil Southeast	Brazil	South america
Brazil West-Central	Brazil	South america
Chile Central	Chile	South america
Chile North	Chile	South america
Chile South	Chile	South america
Colombia	Colombia	South america
Easter Is.	Chile	South america
Ecuador	Ecuador	South america
French Guiana	French Guiana	South america
Guyana	Guyana	South america
Paraguay	Paraguay	South america
Peru	Peru	South america
Suriname	Suriname	South america
Uruguay	Uruguay	South america
Venezuela	Venezuela, Bolivarian Republic of	South america
Venezuelan Antilles	Venezuela, Bolivarian Republic of	South america
Line Is.	-	Pacific island
Desventurados Is.	-	Pacific island
Galápagos	-	Pacific island
Gilbert Is.	-	Pacific island
Hawaii	-	Pacific island
Howland-Baker Is.	-	Pacific island
Juan Fernández Is.	-	Pacific island
Kermadec Is.	-	Pacific island
Macquarie Is.	-	Pacific island
Marianas	-	Pacific island
Marquesas	-	Pacific island
New Caledonia	-	Pacific island
Santa Cruz Is.	-	Pacific island
Society Is.	-	Pacific island
Solomon Is.	-	Pacific island
Tokelau-Manihiki	-	Pacific island
Tonga	-	Pacific island
Tuamotu	-	Pacific island
Tubuai Is.	-	Pacific island
Wake I.	-	Pacific island
Aldabra	Seychelles	Pacific island
Maldives	Maldives	Pacific island
Antipodean Is.	New Zealand	Oceania
Chatham Is.	New Zealand	Oceania
Cocos (Keeling) Is.	Australia	Oceania
Cook Is.	New Zealand	Oceania
Fiji	Fiji	Oceania
Heard-McDonald Is.	Australia	Oceania
Nauru	-	Oceania
New South Wales	Australia	Oceania
New Zealand North	New Zealand	Oceania
New Zealand South	New Zealand	Oceania
Niue	New Zealand	Oceania
Norfolk Is.	Australia	Oceania
Pitcairn Is.	-	Oceania
Samoa	-	Oceania
