 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Berberidaceae	0	6	10	9	11	13	0	10	9	11	13	4	10	11	4	12	10	3	5	0	4	10	5
Hypericaceae	0	2	6	3	4	9	0	7	6	5	4	3	3	7	3	5	2	1	1	0	2	4	1
Phyllanthaceae	0	8	11	5	10	24	1	24	10	18	18	5	12	21	16	11	10	5	3	0	5	12	9
Cornaceae	0	0	3	3	3	5	0	5	2	2	3	1	0	4	6	3	3	4	0	0	0	2	2
Melanthiaceae	0	2	14	14	2	13	0	10	6	2	16	2	10	13	4	2	17	2	1	0	3	4	10
Viscaceae	1	3	4	3	1	3	0	3	2	3	1	1	2	3	2	2	1	0	1	0	1	3	1
Plantaginaceae	0	4	13	9	8	16	1	15	8	11	11	9	8	17	15	8	12	6	3	1	5	10	11
Asphodelaceae	0	2	3	3	1	13	0	10	2	11	10	2	6	10	3	1	4	1	1	0	2	2	8
Asparagaceae	0	4	10	11	14	24	1	18	11	16	22	9	14	29	18	16	15	7	1	1	9	15	8
Meliaceae	0	2	7	3	7	22	0	17	12	14	14	5	5	20	9	7	4	3	2	0	3	4	1
Thymelaeaceae	0	3	6	2	7	11	0	9	4	9	9	0	4	10	8	9	3	2	0	0	2	7	3
Pottiaceae	0	2	4	0	2	6	0	4	2	3	4	1	1	3	4	3	1	0	2	0	0	3	1
Clusiaceae	0	3	6	3	4	11	0	9	7	6	7	4	4	8	10	5	5	5	1	0	3	3	2
Colchicaceae	0	0	2	1	4	3	0	4	1	3	4	1	2	2	4	4	2	1	1	0	1	1	2
Capparaceae	0	0	1	1	6	6	0	3	2	6	7	3	4	8	4	7	3	1	1	0	2	4	2
Acoraceae	1	0	1	3	2	2	0	3	1	2	2	1	2	2	2	2	3	0	0	0	3	2	1
Alstroemeriaceae	0	0	0	0	0	0	0	0	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0
Chlorellaceae	0	4	5	4	2	6	0	4	5	3	4	1	2	4	3	4	3	0	0	0	0	2	2
Caulerpaceae	0	0	1	0	2	2	0	2	1	2	1	0	0	1	2	2	1	2	0	0	1	0	0
Leucobryaceae	0	1	2	1	0	1	0	1	0	1	2	0	1	0	2	0	1	0	1	0	0	1	0
Hyacinthaceae	0	1	2	1	0	1	0	1	1	1	2	0	3	4	1	1	0	0	0	2	0	2	0
Dipterocarpaceae	0	2	2	2	3	4	0	3	2	3	5	1	3	4	2	3	1	0	0	0	0	3	0
Leeaceae	0	0	1	1	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1
Orobanchaceae	0	3	7	4	9	9	0	5	4	8	9	4	7	10	3	10	9	2	2	0	5	5	3
Heliotropiaceae	0	0	1	1	1	3	0	3	0	3	4	1	1	1	3	1	1	1	1	0	0	2	1
Zygophyllaceae	0	5	5	4	4	9	0	10	3	4	5	1	5	8	9	6	2	2	1	0	1	4	3
Chenopodiaceae	0	4	12	8	4	16	2	18	8	12	15	2	9	16	9	4	7	3	5	0	1	7	3
Nartheciaceae	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2
Altingiaceae	0	0	0	1	0	2	0	1	1	0	3	0	3	3	1	0	2	0	0	0	2	2	0
Cynomoriaceae	0	0	1	0	1	2	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1
Melastomataceae	0	1	6	1	1	6	0	4	2	2	4	1	0	4	2	3	1	0	0	0	0	2	1
Rhizophoraceae	0	0	1	0	1	6	1	5	2	2	5	1	2	5	5	1	2	1	0	0	1	0	0
Cistaceae	0	0	0	1	1	4	0	2	0	2	2	1	1	5	1	1	1	0	0	0	1	1	0
Taccaceae	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0
Talinaceae	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Calophyllaceae	0	1	3	4	3	6	0	2	3	4	3	2	3	5	1	4	3	0	0	0	1	1	1
Linderniaceae	0	0	0	0	0	2	0	2	0	0	2	0	0	2	1	0	0	1	0	0	0	1	0
Bixaceae	0	0	0	1	1	3	0	2	1	1	2	1	1	2	2	1	0	1	0	0	0	0	0
Petiveriaceae	0	1	1	0	1	2	0	0	0	1	1	0	0	2	0	1	1	0	0	0	1	1	0
Nitrariaceae	0	1	1	0	1	3	0	2	1	1	2	0	1	2	2	1	1	2	0	0	1	1	1
Stemonaceae	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0
Cleomaceae	0	1	2	1	3	4	0	4	1	3	3	1	1	3	1	3	1	0	0	0	0	0	0
Martyniaceae	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0
