 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Berberidaceae	0.0	0.25757575757575757	0.4444444444444444	0.25	1.0	0.2	0.0	0.1971153846153846	0.1935483870967742	0.35454545454545455	0.23204419889502761	0.1951219512195122	0.38202247191011235	0.14018691588785046	0.23931623931623933	0.675	0.06009615384615385	0.16666666666666666	0.5333333333333333	0.0	0.02099737532808399	0.30303030303030304	0.44
Hypericaceae	0.0	0.16666666666666666	0.5308641975308642	0.39285714285714285	0.3409090909090909	0.31555555555555553	0.0	0.27403846153846156	0.16129032258064516	0.2818181818181818	0.23756906077348067	0.4634146341463415	0.3595505617977528	0.14485981308411214	0.3504273504273504	0.3375	1.0	0.5555555555555556	0.26666666666666666	0.0	1.0	0.22727272727272727	0.52
Phyllanthaceae	0.0	0.2878787878787879	0.8641975308641975	0.16071428571428573	0.7727272727272727	1.0	0.25	1.0	0.27956989247311825	0.5272727272727272	0.7679558011049724	0.21951219512195122	0.9101123595505618	0.7289719626168224	0.6410256410256411	0.45	0.04807692307692308	0.2777777777777778	0.5333333333333333	0.0	0.015748031496062992	1.0	0.96
Cornaceae	0.0	0.0	0.04938271604938271	0.16071428571428573	0.06818181818181818	0.04888888888888889	0.0	0.052884615384615384	0.021505376344086023	0.01818181818181818	0.011049723756906077	0.024390243902439025	0.0	0.028037383177570093	0.11965811965811966	0.0375	0.004807692307692308	0.3888888888888889	0.0	0.0	0.0	0.045454545454545456	0.08
Melanthiaceae	0.0	0.10606060606060606	0.41975308641975306	0.42857142857142855	0.09090909090909091	0.057777777777777775	0.0	0.0625	0.053763440860215055	0.01818181818181818	0.03867403314917127	0.024390243902439025	0.0449438202247191	0.04672897196261682	0.008547008547008548	0.05	0.038461538461538464	0.05555555555555555	0.06666666666666667	0.0	0.023622047244094488	0.18181818181818182	0.52
Viscaceae	1.0	0.5606060606060606	0.9753086419753086	0.21428571428571427	0.045454545454545456	0.21333333333333335	0.0	0.22115384615384615	0.2903225806451613	0.22727272727272727	0.17679558011049723	0.0975609756097561	0.06741573033707865	0.13551401869158877	0.1452991452991453	0.125	0.04326923076923077	0.0	0.06666666666666667	0.0	0.0026246719160104987	0.3939393939393939	0.68
Plantaginaceae	0.0	0.12121212121212122	0.41975308641975306	0.7321428571428571	0.6363636363636364	0.56	0.25	0.4230769230769231	0.15053763440860216	0.43636363636363634	0.30386740331491713	0.6097560975609756	0.1797752808988764	0.2102803738317757	0.7606837606837606	0.375	0.36778846153846156	0.6666666666666666	0.9333333333333333	0.5	0.1994750656167979	0.45454545454545453	1.0
Asphodelaceae	0.0	0.15151515151515152	0.5555555555555556	0.26785714285714285	0.5909090909090909	0.7866666666666666	0.0	0.5432692307692307	0.053763440860215055	0.6818181818181818	1.0	1.0	1.0	0.22897196261682243	0.8376068376068376	1.0	0.052884615384615384	0.6666666666666666	0.4666666666666667	0.0	0.010498687664041995	0.3181818181818182	0.24
Asparagaceae	0.0	0.12121212121212122	0.4074074074074074	1.0	0.5	0.7022222222222222	0.25	0.5721153846153846	0.10752688172043011	0.22727272727272727	0.3259668508287293	0.6097560975609756	0.2247191011235955	0.2616822429906542	1.0	0.3	0.10096153846153846	0.7222222222222222	0.13333333333333333	1.0	0.05774278215223097	0.42424242424242425	0.6
Meliaceae	0.0	0.24242424242424243	1.0	0.16071428571428573	0.29545454545454547	0.9288888888888889	0.0	0.8701923076923077	1.0	1.0	0.3756906077348066	0.4878048780487805	0.48314606741573035	1.0	0.717948717948718	0.6625	0.08653846153846154	0.16666666666666666	0.13333333333333333	0.0	0.03412073490813648	0.25757575757575757	0.4
