 	Auditory	Breast	Cancer	Cardiovascular	Connective tissue	Digestive	Visual	Endocrine	Hematologic	Immune	Inflammatory	Injury	Integumentary	Infectious	Metabolic	Musculoskeletal	Nervous	Nutritional	Otorhinolaryngologic	Poisoning	Psychiatric	Respiratory	Urinary
Tinospora	0.0	0.01567398119122257	0.04075235109717868	0.009404388714733543	0.034482758620689655	0.20376175548589343	0.0	0.18495297805642633	0.0438871473354232	0.05956112852664577	0.047021943573667714	0.006269592476489028	0.018808777429467086	0.06896551724137931	0.16927899686520376	0.03761755485893417	0.01567398119122257	0.006269592476489028	0.006269592476489028	0.0	0.006269592476489028	0.0219435736677116	0.003134796238244514
Hypericum	0.0	0.008865248226950355	0.03368794326241135	0.015957446808510637	0.013297872340425532	0.047872340425531915	0.0	0.03634751773049645	0.010638297872340425	0.02304964539007092	0.031914893617021274	0.012411347517730497	0.026595744680851064	0.022163120567375887	0.028368794326241134	0.02127659574468085	0.3324468085106383	0.007978723404255319	0.0035460992907801418	0.0	0.30319148936170215	0.010638297872340425	0.00975177304964539
Melilotus	0.0	0.0	0.0125	0.0625	0.05	0.0125	0.0	0.0125	0.05	0.075	0.1125	0.0	0.05	0.1125	0.025	0.05	0.175	0.025	0.0125	0.0	0.0875	0.0125	0.0625
Uncaria	0.0	0.03428571428571429	0.07428571428571429	0.05714285714285714	0.08	0.04	0.0	0.017142857142857144	0.02857142857142857	0.10857142857142857	0.09142857142857143	0.005714285714285714	0.011428571428571429	0.022857142857142857	0.04	0.09714285714285714	0.17714285714285713	0.005714285714285714	0.0	0.0	0.05142857142857143	0.03428571428571429	0.022857142857142857
Phyllanthus	0.0	0.01092896174863388	0.04918032786885246	0.012295081967213115	0.017759562841530054	0.20218579234972678	0.0	0.1885245901639344	0.02185792349726776	0.04781420765027322	0.09562841530054644	0.006830601092896175	0.07240437158469945	0.1092896174863388	0.06284153005464481	0.01912568306010929	0.01366120218579235	0.00273224043715847	0.009562841530054645	0.0	0.00546448087431694	0.025956284153005466	0.025956284153005466
Paspalum	0.0	0.017543859649122806	0.017543859649122806	0.017543859649122806	0.0	0.017543859649122806	0.0	0.017543859649122806	0.017543859649122806	0.14035087719298245	0.15789473684210525	0.0	0.017543859649122806	0.05263157894736842	0.017543859649122806	0.017543859649122806	0.07017543859649122	0.0	0.14035087719298245	0.017543859649122806	0.05263157894736842	0.21052631578947367	0.0
Tetradium	0.0	0.0	0.0449438202247191	0.06741573033707865	0.011235955056179775	0.12359550561797752	0.0	0.1348314606741573	0.033707865168539325	0.0898876404494382	0.06741573033707865	0.0	0.011235955056179775	0.07865168539325842	0.0898876404494382	0.033707865168539325	0.07865168539325842	0.07865168539325842	0.0	0.0	0.0449438202247191	0.011235955056179775	0.0
Huperzia	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.4883720930232558	0.0	0.0	0.0	0.46511627906976744	0.0	0.0
Avicennia	0.0	0.06382978723404255	0.10638297872340426	0.0	0.0851063829787234	0.1276595744680851	0.0	0.0851063829787234	0.0	0.10638297872340426	0.06382978723404255	0.02127659574468085	0.0425531914893617	0.10638297872340426	0.0851063829787234	0.0851063829787234	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0
Eleutherococcus	0.0	0.016304347826086956	0.05434782608695652	0.07065217391304347	0.05434782608695652	0.09239130434782608	0.0	0.08695652173913043	0.016304347826086956	0.05434782608695652	0.043478260869565216	0.03260869565217391	0.005434782608695652	0.04891304347826087	0.10869565217391304	0.06521739130434782	0.11956521739130435	0.02717391304347826	0.005434782608695652	0.0	0.043478260869565216	0.04891304347826087	0.005434782608695652
