Aegle marmelos
Aloe vera
Andrographis paniculata
Angelica sinensis
Astragalus penduliflorus
Bacopa monnieri
Boswellia serrata
Centella asiatica
Chelidonium majus
Citrullus colocynthis
Crocus sativus
Cullen corylifolium
Cuminum cyminum
Curcuma longa
Elephantopus scaber
Euphorbia hirta
Gastrodia elata
Glycyrrhiza glabra
Gynostemma pentaphyllum
Hibiscus sabdariffa
Hypericum perforatum
Magnolia officinalis
Marsdenia tenacissima
Morinda citrifolia
Musa x paradisiaca
Nerium oleander
Nigella sativa
Panax notoginseng
Parietaria judaica
Passiflora incarnata
Platycodon grandiflorus
Psidium guajava
Rheum palmatum
Rhodiola rosea
Salvia miltiorrhiza
Salvia officinalis
Salvia rosmarinus
Saussurea costus
Scutellaria baicalensis
Sophora flavescens
Stephania tetrandra
Tamarindus indica
Tanacetum parthenium
Tinospora cordifolia
Tripterygium wilfordii
Tussilago farfara
Uncaria tomentosa
Withania somnifera
