 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Berberidaceae	0.0	0.05116279069767442	0.05026929982046679	0.04304635761589404	0.12416107382550336	0.026037428803905614	0.0	0.028769841269841268	0.05345911949685535	0.03873239436619718	0.028117359413202935	0.024691358024691357	0.04834605597964377	0.02666666666666667	0.023633677991137372	0.08634538152610442	0.0267639902676399	0.028037383177570093	0.10526315789473684	0.0	0.014814814814814815	0.047619047619047616	0.038834951456310676
Hypericaceae	0.0	0.05116279069767442	0.0718132854578097	0.059602649006622516	0.050335570469798654	0.047192839707078924	0.0	0.044642857142857144	0.0440251572327044	0.04929577464788732	0.044009779951100246	0.09259259259259259	0.07633587786259542	0.03272727272727273	0.04874446085672083	0.050200803212851405	0.4562043795620438	0.08411214953271028	0.05263157894736842	0.0	0.6333333333333333	0.0380952380952381	0.05339805825242718
Phyllanthaceae	0.0	0.06046511627906977	0.0807899461400359	0.029801324503311258	0.07718120805369127	0.13913751017087062	0.1	0.15476190476190477	0.0660377358490566	0.08626760563380281	0.12102689486552567	0.037037037037037035	0.15776081424936386	0.13575757575757577	0.08124076809453472	0.050200803212851405	0.019464720194647202	0.04672897196261682	0.10526315789473684	0.0	0.011111111111111112	0.15555555555555556	0.0970873786407767
Cornaceae	0.0	0.0	0.005385996409335727	0.029801324503311258	0.010067114093959731	0.008136696501220505	0.0	0.008928571428571428	0.006289308176100629	0.0035211267605633804	0.0024449877750611247	0.006172839506172839	0.0	0.007272727272727273	0.01772525849335303	0.006024096385542169	0.0024330900243309003	0.06542056074766354	0.0	0.0	0.0	0.006349206349206349	0.009708737864077669
Melanthiaceae	0.0	0.03255813953488372	0.05026929982046679	0.07947019867549669	0.010067114093959731	0.008136696501220505	0.0	0.012896825396825396	0.015723270440251572	0.0035211267605633804	0.008557457212713936	0.006172839506172839	0.010178117048346057	0.012121212121212121	0.0014771048744460858	0.006024096385542169	0.019464720194647202	0.009345794392523364	0.013157894736842105	0.0	0.016666666666666666	0.03492063492063492	0.06310679611650485
Viscaceae	0.5	0.15348837209302327	0.1310592459605027	0.039735099337748346	0.006711409395973154	0.03661513425549227	0.0	0.04265873015873016	0.08176100628930817	0.04401408450704225	0.035452322738386305	0.024691358024691357	0.015267175572519083	0.03151515151515152	0.023633677991137372	0.020080321285140562	0.015815085158150853	0.0	0.013157894736842105	0.0	0.001851851851851852	0.06984126984126984	0.07281553398058252
Plantaginaceae	0.0	0.037209302325581395	0.04847396768402154	0.09933774834437085	0.07046979865771812	0.080553295362083	0.1	0.06547619047619048	0.0440251572327044	0.06866197183098592	0.05378973105134474	0.11728395061728394	0.04071246819338423	0.04727272727272727	0.09453471196454949	0.04618473895582329	0.1386861313868613	0.08411214953271028	0.18421052631578946	0.25	0.11666666666666667	0.08571428571428572	0.0970873786407767
Asphodelaceae	0.0	0.037209302325581395	0.06104129263913824	0.04966887417218543	0.06375838926174497	0.10496338486574451	0.0	0.09027777777777778	0.015723270440251572	0.09507042253521127	0.1430317848410758	0.1419753086419753	0.16030534351145037	0.044848484848484846	0.11669128508124077	0.09839357429718876	0.023114355231143552	0.09345794392523364	0.06578947368421052	0.0	0.007407407407407408	0.05396825396825397	0.02912621359223301
Asparagaceae	0.0	0.023255813953488372	0.03949730700179533	0.17880794701986755	0.06375838926174497	0.08950366151342555	0.1	0.08531746031746032	0.031446540880503145	0.040492957746478875	0.05867970660146699	0.11728395061728394	0.04834605597964377	0.05696969696969697	0.11816838995568685	0.04216867469879518	0.046228710462287104	0.102803738317757	0.013157894736842105	0.5	0.03518518518518519	0.06349206349206349	0.07281553398058252
Meliaceae	0.0	0.05116279069767442	0.1059245960502693	0.029801324503311258	0.040268456375838924	0.12367778681855167	0.0	0.1349206349206349	0.2389937106918239	0.16549295774647887	0.05990220048899755	0.07407407407407407	0.08651399491094147	0.19757575757575757	0.0827178729689808	0.08835341365461848	0.03527980535279805	0.028037383177570093	0.02631578947368421	0.0	0.014814814814814815	0.047619047619047616	0.03398058252427184
Thymelaeaceae	0.0	0.027906976744186046	0.04847396768402154	0.006622516556291391	0.040268456375838924	0.02115541090317331	0.0	0.025793650793650792	0.050314465408805034	0.04753521126760563	0.02567237163814181	0.0	0.022900763358778626	0.027878787878787878	0.0206794682422452	0.04618473895582329	0.004866180048661801	0.04672897196261682	0.0	0.0	0.005555555555555556	0.044444444444444446	0.009708737864077669
Pottiaceae	0.0	0.009302325581395349	0.012567324955116697	0.0	0.02348993288590604	0.008136696501220505	0.0	0.006944444444444444	0.0220125786163522	0.008802816901408451	0.06723716381418093	0.006172839506172839	0.007633587786259542	0.019393939393939394	0.0103397341211226	0.1285140562248996	0.0012165450121654502	0.0	0.05263157894736842	0.0	0.0	0.02857142857142857	0.05825242718446602
Clusiaceae	0.0	0.05116279069767442	0.06822262118491922	0.039735099337748346	0.03355704697986577	0.05207485760781123	0.0	0.054563492063492064	0.040880503144654086	0.0528169014084507	0.044009779951100246	0.04938271604938271	0.05343511450381679	0.048484848484848485	0.05465288035450517	0.030120481927710843	0.023114355231143552	0.09345794392523364	0.013157894736842105	0.0	0.016666666666666666	0.022222222222222223	0.024271844660194174
Colchicaceae	0.0	0.0	0.003590664272890485	0.0033112582781456954	0.08389261744966443	0.004882017900732303	0.0	0.006944444444444444	0.012578616352201259	0.051056338028169015	0.03300733496332518	0.006172839506172839	0.015267175572519083	0.0048484848484848485	0.03545051698670606	0.05220883534136546	0.004866180048661801	0.009345794392523364	0.013157894736842105	0.0	0.001851851851851852	0.0031746031746031746	0.014563106796116505
Capparaceae	0.0	0.0	0.0017953321364452424	0.009933774834437087	0.0436241610738255	0.023596419853539462	0.0	0.021825396825396824	0.006289308176100629	0.02464788732394366	0.014669926650366748	0.018518518518518517	0.01272264631043257	0.01575757575757576	0.025110782865583457	0.028112449799196786	0.006082725060827251	0.009345794392523364	0.013157894736842105	0.0	0.003703703703703704	0.015873015873015872	0.02912621359223301
Acoraceae	0.5	0.0	0.003590664272890485	0.06291390728476821	0.006711409395973154	0.008950366151342554	0.0	0.006944444444444444	0.0031446540880503146	0.0035211267605633804	0.004889975550122249	0.012345679012345678	0.002544529262086514	0.006060606060606061	0.0103397341211226	0.014056224899598393	0.04744525547445255	0.0	0.0	0.0	0.037037037037037035	0.012698412698412698	0.009708737864077669
Alstroemeriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017605633802816902	0.0012224938875305623	0.0	0.007633587786259542	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlorellaceae	0.0	0.2372093023255814	0.025134649910233394	0.016556291390728478	0.013422818791946308	0.014646053702196907	0.0	0.01488095238095238	0.0220125786163522	0.017605633802816902	0.06356968215158924	0.006172839506172839	0.007633587786259542	0.009696969696969697	0.013293943870014771	0.024096385542168676	0.004866180048661801	0.0	0.0	0.0	0.0	0.012698412698412698	0.014563106796116505
Caulerpaceae	0.0	0.0	0.0017953321364452424	0.0	0.006711409395973154	0.0016273393002441008	0.0	0.002976190476190476	0.0031446540880503146	0.0035211267605633804	0.0024449877750611247	0.0	0.0	0.0012121212121212121	0.004431314623338257	0.004016064257028112	0.0012165450121654502	0.028037383177570093	0.0	0.0	0.001851851851851852	0.0	0.0
Leucobryaceae	0.0	0.004651162790697674	0.005385996409335727	0.0033112582781456954	0.0	0.0008136696501220504	0.0	0.000992063492063492	0.0	0.0017605633802816902	0.0024449877750611247	0.0	0.002544529262086514	0.0	0.0029542097488921715	0.0	0.0012165450121654502	0.0	0.013157894736842105	0.0	0.0	0.0031746031746031746	0.0
